SNAPSHOT_DATE_KEY,PRODUCT_KEY,WAREHOUSE_KEY,ON_HAND_QTY,REORDER_POINT,SAFETY_STOCK
20240101,PRD0001,WH01,494,203,155
20240108,PRD0001,WH01,412,203,155
20240115,PRD0001,WH01,313,203,155
20240122,PRD0001,WH01,224,203,155
20240129,PRD0001,WH01,120,203,155
20240205,PRD0001,WH01,148,203,155
20240212,PRD0001,WH01,136,203,155
20240219,PRD0001,WH01,142,203,155
20240226,PRD0001,WH01,122,203,155
20240304,PRD0001,WH01,133,203,155
20240311,PRD0001,WH01,120,203,155
20240318,PRD0001,WH01,135,203,155
20240325,PRD0001,WH01,154,203,155
20240401,PRD0001,WH01,144,203,155
20240408,PRD0001,WH01,140,203,155
20240415,PRD0001,WH01,136,203,155
20240422,PRD0001,WH01,156,203,155
20240429,PRD0001,WH01,130,203,155
20240506,PRD0001,WH01,139,203,155
20240513,PRD0001,WH01,140,203,155
20240520,PRD0001,WH01,137,203,155
20240527,PRD0001,WH01,139,203,155
20240603,PRD0001,WH01,140,203,155
20240610,PRD0001,WH01,135,203,155
20240617,PRD0001,WH01,127,203,155
20240624,PRD0001,WH01,127,203,155
20240701,PRD0001,WH01,148,203,155
20240708,PRD0001,WH01,147,203,155
20240715,PRD0001,WH01,161,203,155
20240722,PRD0001,WH01,182,203,155
20240729,PRD0001,WH01,199,203,155
20240805,PRD0001,WH01,192,203,155
20240812,PRD0001,WH01,217,203,155
20240819,PRD0001,WH01,125,203,155
20240826,PRD0001,WH01,116,203,155
20240902,PRD0001,WH01,101,203,155
20240909,PRD0001,WH01,97,203,155
20240916,PRD0001,WH01,105,203,155
20240923,PRD0001,WH01,114,203,155
20240930,PRD0001,WH01,109,203,155
20241007,PRD0001,WH01,114,203,155
20241014,PRD0001,WH01,113,203,155
20241021,PRD0001,WH01,135,203,155
20241028,PRD0001,WH01,161,203,155
20241104,PRD0001,WH01,122,203,155
20241111,PRD0001,WH01,84,203,155
20241118,PRD0001,WH01,56,203,155
20241125,PRD0001,WH01,0,203,155
20241202,PRD0001,WH01,0,203,155
20241209,PRD0001,WH01,0,203,155
20241216,PRD0001,WH01,0,203,155
20241223,PRD0001,WH01,0,203,155
20241230,PRD0001,WH01,0,203,155
20250106,PRD0001,WH01,0,203,155
20250113,PRD0001,WH01,19,203,155
20250120,PRD0001,WH01,4,203,155
20250127,PRD0001,WH01,3,203,155
20250203,PRD0001,WH01,1,203,155
20250210,PRD0001,WH01,0,203,155
20250217,PRD0001,WH01,0,203,155
20250224,PRD0001,WH01,2,203,155
20250303,PRD0001,WH01,3,203,155
20250310,PRD0001,WH01,1,203,155
20250317,PRD0001,WH01,36,203,155
20250324,PRD0001,WH01,56,203,155
20250331,PRD0001,WH01,33,203,155
20250407,PRD0001,WH01,31,203,155
20250414,PRD0001,WH01,14,203,155
20250421,PRD0001,WH01,27,203,155
20250428,PRD0001,WH01,30,203,155
20250505,PRD0001,WH01,26,203,155
20250512,PRD0001,WH01,28,203,155
20250519,PRD0001,WH01,12,203,155
20250526,PRD0001,WH01,29,203,155
20250602,PRD0001,WH01,0,203,155
20250609,PRD0001,WH01,0,203,155
20250616,PRD0001,WH01,8,203,155
20250623,PRD0001,WH01,0,203,155
20250630,PRD0001,WH01,0,203,155
20250707,PRD0001,WH01,2,203,155
20250714,PRD0001,WH01,8,203,155
20250721,PRD0001,WH01,0,203,155
20250728,PRD0001,WH01,16,203,155
20250804,PRD0001,WH01,7,203,155
20250811,PRD0001,WH01,2,203,155
20250818,PRD0001,WH01,1,203,155
20250825,PRD0001,WH01,21,203,155
20250901,PRD0001,WH01,53,203,155
20250908,PRD0001,WH01,40,203,155
20250915,PRD0001,WH01,46,203,155
20250922,PRD0001,WH01,42,203,155
20250929,PRD0001,WH01,56,203,155
20251006,PRD0001,WH01,46,203,155
20251013,PRD0001,WH01,36,203,155
20251020,PRD0001,WH01,34,203,155
20251027,PRD0001,WH01,20,203,155
20251103,PRD0001,WH01,0,203,155
20251110,PRD0001,WH01,0,203,155
20251117,PRD0001,WH01,0,203,155
20251124,PRD0001,WH01,0,203,155
20251201,PRD0001,WH01,0,203,155
20251208,PRD0001,WH01,0,203,155
20251215,PRD0001,WH01,0,203,155
20251222,PRD0001,WH01,0,203,155
20251229,PRD0001,WH01,0,203,155
20240101,PRD0001,WH03,473,220,125
20240108,PRD0001,WH03,380,220,125
20240115,PRD0001,WH03,282,220,125
20240122,PRD0001,WH03,205,220,125
20240129,PRD0001,WH03,209,220,125
20240205,PRD0001,WH03,207,220,125
20240212,PRD0001,WH03,226,220,125
20240219,PRD0001,WH03,115,220,125
20240226,PRD0001,WH03,93,220,125
20240304,PRD0001,WH03,101,220,125
20240311,PRD0001,WH03,114,220,125
20240318,PRD0001,WH03,102,220,125
20240325,PRD0001,WH03,93,220,125
20240401,PRD0001,WH03,93,220,125
20240408,PRD0001,WH03,96,220,125
20240415,PRD0001,WH03,108,220,125
20240422,PRD0001,WH03,113,220,125
20240429,PRD0001,WH03,111,220,125
20240506,PRD0001,WH03,107,220,125
20240513,PRD0001,WH03,110,220,125
20240520,PRD0001,WH03,136,220,125
20240527,PRD0001,WH03,148,220,125
20240603,PRD0001,WH03,180,220,125
20240610,PRD0001,WH03,198,220,125
20240617,PRD0001,WH03,196,220,125
20240624,PRD0001,WH03,168,220,125
20240701,PRD0001,WH03,154,220,125
20240708,PRD0001,WH03,136,220,125
20240715,PRD0001,WH03,160,220,125
20240722,PRD0001,WH03,165,220,125
20240729,PRD0001,WH03,166,220,125
20240805,PRD0001,WH03,146,220,125
20240812,PRD0001,WH03,131,220,125
20240819,PRD0001,WH03,139,220,125
20240826,PRD0001,WH03,154,220,125
20240902,PRD0001,WH03,165,220,125
20240909,PRD0001,WH03,187,220,125
20240916,PRD0001,WH03,203,220,125
20240923,PRD0001,WH03,173,220,125
20240930,PRD0001,WH03,184,220,125
20241007,PRD0001,WH03,162,220,125
20241014,PRD0001,WH03,172,220,125
20241021,PRD0001,WH03,177,220,125
20241028,PRD0001,WH03,190,220,125
20241104,PRD0001,WH03,137,220,125
20241111,PRD0001,WH03,94,220,125
20241118,PRD0001,WH03,18,220,125
20241125,PRD0001,WH03,0,220,125
20241202,PRD0001,WH03,0,220,125
20241209,PRD0001,WH03,0,220,125
20241216,PRD0001,WH03,0,220,125
20241223,PRD0001,WH03,0,220,125
20241230,PRD0001,WH03,0,220,125
20250106,PRD0001,WH03,12,220,125
20250113,PRD0001,WH03,0,220,125
20250120,PRD0001,WH03,11,220,125
20250127,PRD0001,WH03,0,220,125
20250203,PRD0001,WH03,0,220,125
20250210,PRD0001,WH03,14,220,125
20250217,PRD0001,WH03,26,220,125
20250224,PRD0001,WH03,6,220,125
20250303,PRD0001,WH03,0,220,125
20250310,PRD0001,WH03,0,220,125
20250317,PRD0001,WH03,13,220,125
20250324,PRD0001,WH03,28,220,125
20250331,PRD0001,WH03,8,220,125
20250407,PRD0001,WH03,8,220,125
20250414,PRD0001,WH03,0,220,125
20250421,PRD0001,WH03,0,220,125
20250428,PRD0001,WH03,0,220,125
20250505,PRD0001,WH03,0,220,125
20250512,PRD0001,WH03,7,220,125
20250519,PRD0001,WH03,16,220,125
20250526,PRD0001,WH03,19,220,125
20250602,PRD0001,WH03,0,220,125
20250609,PRD0001,WH03,8,220,125
20250616,PRD0001,WH03,0,220,125
20250623,PRD0001,WH03,8,220,125
20250630,PRD0001,WH03,0,220,125
20250707,PRD0001,WH03,7,220,125
20250714,PRD0001,WH03,0,220,125
20250721,PRD0001,WH03,0,220,125
20250728,PRD0001,WH03,15,220,125
20250804,PRD0001,WH03,21,220,125
20250811,PRD0001,WH03,27,220,125
20250818,PRD0001,WH03,26,220,125
20250825,PRD0001,WH03,32,220,125
20250901,PRD0001,WH03,56,220,125
20250908,PRD0001,WH03,52,220,125
20250915,PRD0001,WH03,30,220,125
20250922,PRD0001,WH03,44,220,125
20250929,PRD0001,WH03,54,220,125
20251006,PRD0001,WH03,53,220,125
20251013,PRD0001,WH03,28,220,125
20251020,PRD0001,WH03,42,220,125
20251027,PRD0001,WH03,63,220,125
20251103,PRD0001,WH03,23,220,125
20251110,PRD0001,WH03,0,220,125
20251117,PRD0001,WH03,0,220,125
20251124,PRD0001,WH03,0,220,125
20251201,PRD0001,WH03,0,220,125
20251208,PRD0001,WH03,0,220,125
20251215,PRD0001,WH03,0,220,125
20251222,PRD0001,WH03,0,220,125
20251229,PRD0001,WH03,0,220,125
20240101,PRD0001,WH06,380,224,143
20240108,PRD0001,WH06,268,224,143
20240115,PRD0001,WH06,181,224,143
20240122,PRD0001,WH06,183,224,143
20240129,PRD0001,WH06,193,224,143
20240205,PRD0001,WH06,187,224,143
20240212,PRD0001,WH06,192,224,143
20240219,PRD0001,WH06,188,224,143
20240226,PRD0001,WH06,191,224,143
20240304,PRD0001,WH06,173,224,143
20240311,PRD0001,WH06,181,224,143
20240318,PRD0001,WH06,162,224,143
20240325,PRD0001,WH06,159,224,143
20240401,PRD0001,WH06,169,224,143
20240408,PRD0001,WH06,159,224,143
20240415,PRD0001,WH06,140,224,143
20240422,PRD0001,WH06,142,224,143
20240429,PRD0001,WH06,140,224,143
20240506,PRD0001,WH06,148,224,143
20240513,PRD0001,WH06,140,224,143
20240520,PRD0001,WH06,141,224,143
20240527,PRD0001,WH06,152,224,143
20240603,PRD0001,WH06,137,224,143
20240610,PRD0001,WH06,117,224,143
20240617,PRD0001,WH06,128,224,143
20240624,PRD0001,WH06,136,224,143
20240701,PRD0001,WH06,126,224,143
20240708,PRD0001,WH06,136,224,143
20240715,PRD0001,WH06,134,224,143
20240722,PRD0001,WH06,124,224,143
20240729,PRD0001,WH06,142,224,143
20240805,PRD0001,WH06,155,224,143
20240812,PRD0001,WH06,162,224,143
20240819,PRD0001,WH06,166,224,143
20240826,PRD0001,WH06,139,224,143
20240902,PRD0001,WH06,145,224,143
20240909,PRD0001,WH06,152,224,143
20240916,PRD0001,WH06,150,224,143
20240923,PRD0001,WH06,162,224,143
20240930,PRD0001,WH06,157,224,143
20241007,PRD0001,WH06,143,224,143
20241014,PRD0001,WH06,121,224,143
20241021,PRD0001,WH06,116,224,143
20241028,PRD0001,WH06,100,224,143
20241104,PRD0001,WH06,52,224,143
20241111,PRD0001,WH06,15,224,143
20241118,PRD0001,WH06,0,224,143
20241125,PRD0001,WH06,0,224,143
20241202,PRD0001,WH06,0,224,143
20241209,PRD0001,WH06,0,224,143
20241216,PRD0001,WH06,0,224,143
20241223,PRD0001,WH06,0,224,143
20241230,PRD0001,WH06,0,224,143
20250106,PRD0001,WH06,36,224,143
20250113,PRD0001,WH06,38,224,143
20250120,PRD0001,WH06,65,224,143
20250127,PRD0001,WH06,67,224,143
20250203,PRD0001,WH06,105,224,143
20250210,PRD0001,WH06,115,224,143
20250217,PRD0001,WH06,132,224,143
20250224,PRD0001,WH06,119,224,143
20250303,PRD0001,WH06,129,224,143
20250310,PRD0001,WH06,138,224,143
20250317,PRD0001,WH06,143,224,143
20250324,PRD0001,WH06,151,224,143
20250331,PRD0001,WH06,135,224,143
20250407,PRD0001,WH06,143,224,143
20250414,PRD0001,WH06,144,224,143
20250421,PRD0001,WH06,168,224,143
20250428,PRD0001,WH06,168,224,143
20250505,PRD0001,WH06,157,224,143
20250512,PRD0001,WH06,150,224,143
20250519,PRD0001,WH06,124,224,143
20250526,PRD0001,WH06,132,224,143
20250602,PRD0001,WH06,129,224,143
20250609,PRD0001,WH06,133,224,143
20250616,PRD0001,WH06,129,224,143
20250623,PRD0001,WH06,120,224,143
20250630,PRD0001,WH06,132,224,143
20250707,PRD0001,WH06,146,224,143
20250714,PRD0001,WH06,151,224,143
20250721,PRD0001,WH06,175,224,143
20250728,PRD0001,WH06,185,224,143
20250804,PRD0001,WH06,177,224,143
20250811,PRD0001,WH06,166,224,143
20250818,PRD0001,WH06,176,224,143
20250825,PRD0001,WH06,171,224,143
20250901,PRD0001,WH06,165,224,143
20250908,PRD0001,WH06,183,224,143
20250915,PRD0001,WH06,212,224,143
20250922,PRD0001,WH06,220,224,143
20250929,PRD0001,WH06,220,224,143
20251006,PRD0001,WH06,228,224,143
20251013,PRD0001,WH06,117,224,143
20251020,PRD0001,WH06,124,224,143
20251027,PRD0001,WH06,110,224,143
20251103,PRD0001,WH06,56,224,143
20251110,PRD0001,WH06,37,224,143
20251117,PRD0001,WH06,0,224,143
20251124,PRD0001,WH06,0,224,143
20251201,PRD0001,WH06,0,224,143
20251208,PRD0001,WH06,0,224,143
20251215,PRD0001,WH06,0,224,143
20251222,PRD0001,WH06,0,224,143
20251229,PRD0001,WH06,0,224,143
20240101,PRD0002,WH04,430,216,136
20240108,PRD0002,WH04,317,216,136
