PO_ID,SUPPLIER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,ORDER_DATE_KEY,PROMISED_DATE_KEY,RECEIVED_DATE_KEY,ORDER_QTY,RECEIVED_QTY,UNIT_COST,PO_AMOUNT
PO000001,SUP006,PRD0004,WH04,20241119,20241222,20241221,56,56,19.78,1107.68
PO000002,SUP002,PRD0076,WH01,20240613,20240702,20240630,674,674,354.24,238757.76
PO000003,SUP016,PRD0061,WH02,20240301,20240320,20240319,497,470,53.16,26420.52
PO000004,SUP024,PRD0018,WH04,20250122,20250203,20250226,1308,1308,162.04,211948.32
PO000005,SUP004,PRD0057,WH05,20240605,20240620,20240617,1042,1042,63.37,66031.54
PO000006,SUP017,PRD0066,WH01,20250205,20250214,20250214,1435,1435,261.8,375683.0
PO000007,SUP017,PRD0019,WH02,20250412,20250421,20250419,744,744,382.47,284557.68
PO000008,SUP021,PRD0045,WH05,20250731,20250820,20250817,352,352,215.43,75831.36
PO000009,SUP017,PRD0026,WH03,20241201,20241210,20241210,1108,1108,347.66,385207.28
PO000010,SUP020,PRD0059,WH04,20240104,20240213,20240211,889,889,194.35,172777.15
PO000011,SUP018,PRD0017,WH05,20240709,20240819,20240817,1413,1413,296.9,419519.7
PO000012,SUP019,PRD0003,WH01,20250803,20250907,20250906,775,775,308.62,239180.5
PO000013,SUP019,PRD0073,WH04,20241228,20250201,20250214,448,448,253.85,113724.8
PO000014,SUP002,PRD0031,WH05,20250225,20250316,20250314,633,633,73.98,46829.34
PO000015,SUP020,PRD0078,WH03,20241107,20241217,20250106,1368,1368,256.38,350727.84
PO000016,SUP023,PRD0008,WH02,20240420,20240501,20240430,1123,1123,300.7,337686.1
PO000017,SUP020,PRD0055,WH05,20250901,20251011,20251009,65,65,270.14,17559.1
PO000018,SUP017,PRD0066,WH01,20250609,20250618,20250616,666,666,261.8,174358.8
PO000019,SUP020,PRD0056,WH03,20251107,20251217,20251214,487,487,111.86,54475.82
PO000020,SUP010,PRD0010,WH04,20250804,20250824,20250823,1174,1174,42.31,49671.94
PO000021,SUP008,PRD0030,WH05,20240716,20240727,20240725,231,231,65.68,15172.08
PO000022,SUP024,PRD0011,WH06,20240621,20240703,20240702,963,963,100.18,96473.34
