SO_ID,CUSTOMER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,SHIP_MODE_KEY,ORDER_DATE_KEY,SHIP_DATE_KEY,PROMISED_DATE_KEY,DELIVERY_DATE_KEY,ORDER_QTY,SHIPPED_QTY,FREIGHT_COST,REVENUE
SO0000001,CUST0117,PRD0050,WH04,SM3,20251021,20251023,20251101,20251030,17,17,23.59,2918.39
SO0000002,CUST0049,PRD0007,WH02,SM1,20250904,20250907,20250912,20250911,134,69,292.38,2405.34
SO0000003,CUST0074,PRD0076,WH04,SM2,20240403,20240406,20240508,20240506,277,277,203.51,167911.86
SO0000004,CUST0023,PRD0066,WH06,SM3,20240402,20240405,20240414,20240412,26,26,49.89,8908.64
SO0000005,CUST0092,PRD0016,WH02,SM1,20240424,20240427,20240502,20240505,112,112,540.86,36246.56
SO0000006,CUST0160,PRD0040,WH06,SM2,20240425,20240428,20240530,20240528,102,102,102.62,37399.32
SO0000007,CUST0137,PRD0067,WH02,SM4,20240920,20240923,20241007,20241013,281,281,322.98,37786.07
SO0000008,CUST0061,PRD0038,WH04,SM4,20251002,20251004,20251018,20251016,228,191,190.96,86811.41
SO0000009,CUST0125,PRD0071,WH03,SM4,20240902,20240905,20240919,20240918,275,275,320.55,145238.5
SO0000010,CUST0029,PRD0060,WH01,SM4,20240601,20240602,20240616,20240614,227,227,240.11,114684.94
SO0000011,CUST0122,PRD0080,WH04,SM4,20240712,20240715,20240729,20240728,195,177,223.19,89737.23
SO0000012,CUST0172,PRD0004,WH05,SM1,20250419,20250420,20250425,20250503,128,128,587.58,4078.08
SO0000013,CUST0084,PRD0009,WH05,SM2,20241230,20250102,20250203,20250208,110,110,71.98,25010.7
SO0000014,CUST0156,PRD0019,WH04,SM4,20250516,20250518,20250601,20250530,110,110,89.74,60423.0
SO0000015,CUST0141,PRD0071,WH04,SM4,20241106,20241109,20241123,20241120,179,179,191.68,94537.06
SO0000016,CUST0037,PRD0066,WH01,SM2,20240622,20240625,20240727,20240725,187,187,162.62,64073.68
SO0000017,CUST0048,PRD0014,WH04,SM4,20250211,20250212,20250226,20250224,242,242,228.47,18842.12
SO0000018,CUST0080,PRD0002,WH02,SM2,20250301,20250302,20250403,20250412,83,83,84.14,32172.46
SO0000019,CUST0060,PRD0068,WH03,SM2,20250927,20250928,20251030,20251029,129,122,106.15,74596.9
SO0000020,CUST0025,PRD0071,WH05,SM2,20240523,20240525,20240626,20240623,155,155,130.13,81861.7
SO0000021,CUST0020,PRD0034,WH05,SM1,20241213,20241214,20241219,20241222,156,156,639.88,26179.92
SO0000022,CUST0158,PRD0018,WH02,SM3,20241108,20241110,20241119,20241129,43,43,68.16,10072.75
SO0000023,CUST0043,PRD0029,WH02,SM4,20250507,20250508,20250522,20250520,219,219,196.71,25031.7
SO0000024,CUST0046,PRD0042,WH03,SM4,20250325,20250326,20250409,20250408,244,244,198.36,49065.96
SO0000025,CUST0156,PRD0063,WH05,SM2,20241230,20250101,20250202,20250131,272,272,222.98,70695.52
SO0000026,CUST0139,PRD0058,WH02,SM2,20241227,20241230,20250131,20250128,39,39,24.99,18405.66
SO0000027,CUST0077,PRD0001,WH06,SM4,20250408,20250409,20250423,20250420,135,135,128.4,64995.75
SO0000028,CUST0124,PRD0060,WH05,SM1,20250115,20250116,20250121,20250127,43,43,148.48,21724.46
SO0000029,CUST0138,PRD0038,WH02,SM3,20240324,20240326,20240404,20240403,105,105,198.02,47723.55
SO0000030,CUST0168,PRD0033,WH01,SM2,20241105,20241106,20241208,20241206,85,85,63.65,37071.9
SO0000031,CUST0036,PRD0055,WH04,SM3,20241207,20241208,20241217,20241215,243,243,454.56,96291.18
