PRODUCT_KEY,WAREHOUSE_KEY,ON_HAND_QTY,REORDER_POINT,SAFETY_STOCK,SNAPSHOT_DATE
PRD0001,WH01,494,203,155,2024/01/01
PRD0001,WH01,,203,155,2024-01-08
PRD0001,WH01,313,203,155,
PRD0001,WH01,224,203,155,01/22/2024
PRD0001,WH01,120,203,155,29-Jan-2024
PRD0001,WH01,148,203,155,2024/02/05
PRD0001,WH01,136,203,155,2024/02/12
PRD0001,WH01,142,203,155,2024-02-19
PRD0001,WH01,122,203,155,2024-02-26
PRD0001,WH01,133,203,155,2024/03/04
PRD0001,WH01,120,203,155,2024-03-11
PRD0001,WH01,135,203,155,2024/03/18
PRD0001,WH01,154,203,155,03/25/2024
PRD0001,WH01,144,203,155,2024-04-01
PRD0001,WH01,140,203,155,2024-04-08
PRD0001,WH01,136,203,155,04/15/2024
PRD0001,WH01,156,203,155,2024-04-22
PRD0001,WH01,130,203,155,2024-04-29
PRD0001,WH01,139,203,155,2024-05-06
PRD0001,WH01,140,203,155,2024/05/13
PRD0001,WH01,137,203,155,2024-05-20
PRD0001,WH01,139,203,155,
PRD0001,WH01,140,203,155,2024-06-03
PRD0001,WH01,135,203,155,06/10/2024
PRD0001,WH01,127,,155,2024-06-17
PRD0001,WH01,127,203,155,24-Jun-2024
PRD0001,WH01,148,203,155,2024-07-01
PRD0001,WH01,147,203,,08-Jul-2024
PRD0001,WH01,161,203,155,2024-07-15
PRD0001,WH01,182,203,155,2024-07-22
PRD0001,WH01,199,203,155,2024-07-29
PRD0001,WH01,192,203,155,2024-08-05
PRD0001,WH01,217,203,155,2024-08-12
PRD0001,WH01,125,203,155,2024-08-19
PRD0001,WH01,116,203,155,2024-08-26
PRD0001,WH01,101,203,155,2024-09-02
PRD0001,WH01,97,203,155,
PRD0001,WH01,105,203,155,2024-09-16
PRD0001,WH01,114,203,155,2024-09-23
PRD0001,WH01,109,203,155,2024/09/30
PRD0001,WH01,114,203,155,10/07/2024
PRD0001,WH01,113,203,155,2024-10-14
PRD0001,WH01,135,203,155,2024-10-21
PRD0001,WH01,161,203,155,2024-10-28
PRD0001,WH01,122,203,155,04-Nov-2024
PRD0001,WH01,84,203,155,2024-11-11
PRD0001,WH01,56,203,155,2024-11-18
PRD0001,WH01,0,203,155,2024-11-25
PRD0001,WH01,0,203,155,02-Dec-2024
PRD0001,WH01,0,203,155,2024-12-09
PRD0001,WH01,0,203,155,2024-12-16
PRD0001,WH01,0,203,155,2024-12-23
PRD0001,WH01,0,203,155,2024-12-30
PRD0001,WH01,0,203,155,2025-01-06
PRD0001,WH01,19,203,155,2025/01/13
PRD0001,WH01,,203,155,2025-01-20
PRD0001,WH01,3,203,155,27-Jan-2025
PRD0001,WH01,1,203,155,2025/02/03
PRD0001,WH01,0,203,155,2025/02/10
PRD0001,WH01,0,203,155,2025-02-17
PRD0001,WH01,2,203,155,2025-02-24
PRD0001,WH01,3,203,155,03-Mar-2025
PRD0001,WH01,1,203,155,
PRD0001,WH01,36,203,155,03/17/2025
PRD0001,WH01,56,203,155,24-Mar-2025
PRD0001,WH01,33,203,155,31-Mar-2025
PRD0001,WH01,31,203,155,2025-04-07
PRD0001,WH01,14,203,155,
PRD0001,WH01,27,203,155,2025-04-21
PRD0001,WH01,30,203,155,2025-04-28
PRD0001,WH01,26,203,155,2025-05-05
PRD0001,WH01,28,203,155,
PRD0001,WH01,12,203,155,05/19/2025
PRD0001,WH01,29,203,155,2025-05-26
PRD0001,WH01,0,203,155,2025-06-02
PRD0001,WH01,0,203,155,2025/06/09
PRD0001,WH01,8,203,155,2025/06/16
PRD0001,WH01,0,203,155,2025-06-23
PRD0001,WH01,0,203,155,2025-06-30
PRD0001,WH01,2,203,155,07-Jul-2025
PRD0001,WH01,8,203,155,2025-07-14
PRD0001,WH01,0,203,155,07/21/2025
PRD0001,WH01,16,203,155,2025-07-28
PRD0001,WH01,7,203,155,
PRD0001,WH01,2,203,155,2025-08-11
PRD0001,WH01,1,203,155,2025-08-18
PRD0001,WH01,21,203,155,2025-08-25
PRD0001,WH01,53,203,155,2025-09-01
PRD0001,WH01,40,203,155,2025-09-08
PRD0001,WH01,46,203,155,2025-09-15
PRD0001,WH01,42,203,155,
PRD0001,WH01,56,203,155,2025-09-29
PRD0001,WH01,46,203,155,06-Oct-2025
PRD0001,WH01,36,203,155,2025-10-13
PRD0001,WH01,34,203,155,2025-10-20
PRD0001,WH01,20,203,155,10/27/2025
PRD0001,WH01,0,203,155,
PRD0001,WH01,0,203,155,2025-11-10
PRD0001,WH01,0,,155,2025-11-17
PRD0001,WH01,0,203,155,2025-11-24
PRD0001,WH01,0,203,155,2025-12-01
PRD0001,WH01,0,203,155,2025-12-08
PRD0001,WH01,0,203,155,2025-12-15
PRD0001,WH01,0,203,155,2025-12-22
PRD0001,WH01,0,203,155,2025-12-29
PRD0001,WH03,473,220,125,2024-01-01
PRD0001,WH03,380,220,125,2024-01-08
PRD0001,WH03,282,220,125,2024-01-15
PRD0001,WH03,205,,125,22-Jan-2024
PRD0001,WH03,209,220,125,2024-01-29
PRD0001,WH03,207,220,125,2024/02/05
PRD0001,WH03,226,220,125,2024-02-12
PRD0001,WH03,115,220,125,02/19/2024
PRD0001,WH03,93,220,125,2024-02-26
PRD0001,WH03,,220,125,2024-03-04
PRD0001,WH03,114,220,125,2024-03-11
PRD0001,WH03,102,220,125,2024-03-18
PRD0001,WH03,93,,125,2024-03-25
PRD0001,WH03,93,220,125,2024-04-01
PRD0001,WH03,96,220,125,
PRD0001,WH03,108,220,125,2024-04-15
PRD0001,WH03,113,220,125,2024-04-22
PRD0001,WH03,111,220,125,2024-04-29
PRD0001,WH03,107,220,125,2024/05/06
PRD0001,WH03,110,220,125,13-May-2024
PRD0001,WH03,136,220,125,2024-05-20
PRD0001,WH03,148,220,125,05/27/2024
PRD0001,WH03,180,220,125,03-Jun-2024
PRD0001,WH03,198,220,125,2024-06-10
PRD0001,WH03,196,220,125,2024-06-17
PRD0001,WH03,168,220,125,2024/06/24
PRD0001,WH03,154,220,125,
PRD0001,WH03,136,220,125,2024-07-08
PRD0001,WH03,160,220,125,2024/07/15
PRD0001,WH03,165,220,125,2024-07-22
PRD0001,WH03,166,220,125,2024-07-29
PRD0001,WH03,146,220,125,
PRD0001,WH03,131,220,125,2024-08-12
PRD0001,WH03,139,220,125,2024-08-19
PRD0001,WH03,154,220,125,2024-08-26
PRD0001,WH03,165,220,125,09/02/2024
PRD0001,WH03,187,220,125,2024-09-09
PRD0001,WH03,203,220,125,2024/09/16
PRD0001,WH03,173,220,125,23-Sep-2024
PRD0001,WH03,184,220,125,09/30/2024
PRD0001,WH03,162,220,125,2024-10-07
PRD0001,WH03,172,220,125,2024-10-14
PRD0001,WH03,177,220,125,2024/10/21
PRD0001,WH03,190,220,125,28-Oct-2024
PRD0001,WH03,137,220,125,04-Nov-2024
PRD0001,WH03,94,220,125,2024-11-11
PRD0001,WH03,18,220,125,2024-11-18
PRD0001,WH03,0,220,125,2024-11-25
PRD0001,WH03,0,220,125,2024-12-02
PRD0001,WH03,0,220,125,12/09/2024
PRD0001,WH03,0,220,125,2024-12-16
PRD0001,WH03,0,220,125,2024-12-23
PRD0001,WH03,0,220,125,2024-12-30
PRD0001,WH03,12,220,125,2025-01-06
PRD0001,WH03,0,220,125,2025-01-13
PRD0001,WH03,11,220,125,01/20/2025
PRD0001,WH03,0,220,125,2025-01-27
PRD0001,WH03,0,220,125,2025-02-03
PRD0001,WH03,14,220,125,2025-02-10
PRD0001,WH03,26,220,125,2025-02-17
PRD0001,WH03,6,,125,2025-02-24
PRD0001,WH03,0,220,125,03/03/2025
PRD0001,WH03,0,220,125,10-Mar-2025
PRD0001,WH03,13,220,125,2025-03-17
PRD0001,WH03,28,220,125,2025/03/24
PRD0001,WH03,8,220,125,2025-03-31
PRD0001,WH03,8,220,125,2025-04-07
PRD0001,WH03,0,220,125,2025-04-14
PRD0001,WH03,0,220,125,04/21/2025
PRD0001,WH03,0,220,125,2025-04-28
PRD0001,WH03,0,220,125,2025/05/05
PRD0001,WH03,7,220,125,2025-05-12
PRD0001,WH03,16,220,125,19-May-2025
PRD0001,WH03,19,220,125,2025-05-26
PRD0001,WH03,0,220,125,2025/06/02
PRD0001,WH03,8,220,125,2025-06-09
PRD0001,WH03,0,220,125,06/16/2025
PRD0001,WH03,8,220,125,2025-06-23
PRD0001,WH03,0,220,125,2025-06-30
PRD0001,WH03,7,220,125,
PRD0001,WH03,0,220,125,07/14/2025
PRD0001,WH03,0,220,125,07/21/2025
PRD0001,WH03,15,220,125,2025-07-28
PRD0001,WH03,21,220,125,08/04/2025
PRD0001,WH03,27,220,125,2025-08-11
PRD0001,WH03,26,220,125,2025-08-18
PRD0001,WH03,32,,125,08/25/2025
PRD0001,WH03,56,220,125,2025-09-01
PRD0001,WH03,52,220,125,2025-09-08
PRD0001,WH03,30,220,125,2025-09-15
PRD0001,WH03,44,220,125,2025-09-22
PRD0001,WH03,54,220,125,2025-09-29
PRD0001,WH03,53,220,125,06-Oct-2025
PRD0001,WH03,28,220,125,2025-10-13
PRD0001,WH03,42,220,125,2025-10-20
PRD0001,WH03,63,220,125,27-Oct-2025
PRD0001,WH03,23,220,125,2025-11-03
PRD0001,WH03,0,220,125,2025-11-10
PRD0001,WH03,0,220,125,17-Nov-2025
PRD0001,WH03,0,220,125,
PRD0001,WH03,0,220,125,2025-12-01
PRD0001,WH03,0,220,125,2025-12-08
PRD0001,WH03,0,220,125,2025-12-15
PRD0001,WH03,0,220,125,2025-12-22
PRD0001,WH03,0,220,125,12/29/2025
PRD0001,WH06,380,224,143,2024-01-01
PRD0001,WH06,268,224,143,2024-01-08
PRD0001,WH06,181,224,143,2024-01-15
PRD0001,WH06,183,224,143,2024-01-22
PRD0001,WH06,193,224,143,2024-01-29
PRD0001,WH06,187,224,143,2024-02-05
PRD0001,WH06,192,224,143,2024-02-12
PRD0001,WH06,188,,143,2024/02/19
PRD0001,WH06,191,224,143,2024-02-26
PRD0001,WH06,173,224,143,2024-03-04
PRD0001,WH06,181,224,143,03/11/2024
PRD0001,WH06,162,224,143,2024-03-18
PRD0001,WH06,159,224,143,2024-03-25
PRD0001,WH06,169,224,143,2024-04-01
PRD0001,WH06,159,224,143,2024-04-08
PRD0001,WH06,140,224,143,2024-04-15
PRD0001,WH06,142,224,143,22-Apr-2024
PRD0001,WH06,140,224,143,2024-04-29
PRD0001,WH06,148,224,143,06-May-2024
PRD0001,WH06,140,224,143,2024-05-13
PRD0001,WH06,141,224,143,2024-05-20
PRD0001,WH06,152,224,143,2024-05-27
PRD0001,WH06,137,224,143,2024-06-03
PRD0001,WH06,117,224,143,10-Jun-2024
PRD0001,WH06,128,224,143,2024-06-17
PRD0001,WH06,136,224,143,2024-06-24
PRD0001,WH06,126,224,143,2024-07-01
PRD0001,WH06,136,224,143,2024/07/08
PRD0001,WH06,134,224,143,07/15/2024
PRD0001,WH06,124,224,143,2024/07/22
PRD0001,WH06,142,224,143,2024-07-29
PRD0001,WH06,155,224,143,08/05/2024
PRD0001,WH06,162,224,143,08/12/2024
PRD0001,WH06,166,224,143,19-Aug-2024
PRD0001,WH06,139,224,143,2024/08/26
PRD0001,WH06,145,224,143,02-Sep-2024
PRD0001,WH06,152,224,143,2024-09-09
PRD0001,WH06,150,224,143,2024-09-16
PRD0001,WH06,162,224,143,2024-09-23
PRD0001,WH06,157,224,143,09/30/2024
PRD0001,WH06,143,224,143,2024-10-07
PRD0001,WH06,121,224,,2024-10-14
PRD0001,WH06,116,224,143,2024-10-21
PRD0001,WH06,100,224,143,28-Oct-2024
PRD0001,WH06,52,224,143,2024-11-04
PRD0001,WH06,15,224,143,2024-11-11
PRD0001,WH06,0,224,143,2024-11-18
PRD0001,WH06,0,224,143,2024/11/25
PRD0001,WH06,0,224,143,2024-12-02
PRD0001,WH06,0,224,143,12/09/2024
PRD0001,WH06,0,224,143,2024-12-16
PRD0001,WH06,0,224,143,2024-12-23
PRD0001,WH06,0,224,143,2024-12-30
