PO_ID,SUPPLIER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,ORDER_QTY,RECEIVED_QTY,UNIT_COST,PO_AMOUNT,ORDER_DATE,PROMISED_DATE,RECEIVED_DATE
PO000001,SUP006,PRD0004,WH04,56,56,19.78,1107.68,19-Nov-2024,,2024-12-21
PO000002,SUP002,PRD0076,WH01,674,674,354.24,238757.76,2024-06-13,2024-07-02,2024/06/30
PO000003,SUP016,PRD0061,WH02,497,470,53.16,26420.52,2024-03-01,2024-03-20,2024-03-19
PO000004,SUP024,PRD0018,WH04,1308,1308,162.04,211948.32,2025-01-22,2025-02-03,2025-02-26
PO000005,SUP004,PRD0057,WH05,1042,1042,63.37,66031.54,2024-06-05,20-Jun-2024,2024-06-17
PO000006,SUP017,PRD0066,WH01,1435,1435,261.8,375683.0,05-Feb-2025,2025-02-14,02/14/2025
PO000007,SUP017,PRD0019,WH02,744,744,382.47,284557.68,2025-04-12,2025-04-21,2025-04-19
PO000008,SUP021,PRD0045,WH05,352,352,215.43,75831.36,2025-07-31,08/20/2025,08/17/2025
PO000009,SUP017,PRD0026,WH03,1108,"1,108",347.66,385207.28,2024-12-01,,2024-12-10
PO000010,SUP020,PRD0059,WH04,889,889,194.35,172777.15,2024-01-04,2024-02-13,2024-02-11
PO000011,SUP018,PRD0017,WH05,1413,1413,296.90,419519.7,2024-07-09,2024-08-19,2024-08-17
PO000012,SUP019,PRD0003,WH01,775,775,308.62,239180.5,2025-08-03,2025-09-07,2025-09-06
PO000013,SUP019,PRD0073,WH04,448,448,253.85,113724.8,2024/12/28,2025-02-01,2025-02-14
PO000014,SUP002,PRD0031,WH05,633,633,73.98,46829.34,2025-02-25,,2025-03-14
PO000015,SUP020,PRD0078,WH03,"1,368",1368,256.38,350727.84,07-Nov-2024,2024-12-17,2025-01-06
PO000016,SUP023,PRD0008,WH02,1123,1123,300.7,"$337,686.10",04/20/2024,05/01/2024,2024-04-30
PO000017,SUP020,PRD0055,WH05,65,65,270.14,17559.1,2025-09-01,2025/10/11,10/09/2025
PO000018,SUP017,PRD0066,WH01,666,666,261.8,174358.8,2025-06-09,2025-06-18,2025-06-16
PO000019,SUP020,PRD0056,WH03,487,487,111.86,54475.82,2025-11-07,12/17/2025,2025-12-14
