SO_ID,CUSTOMER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,SHIP_MODE_KEY,ORDER_QTY,SHIPPED_QTY,FREIGHT_COST,REVENUE,ORDER_DATE,SHIP_DATE,PROMISED_DATE,DELIVERY_DATE
SO0000001,CUST0117,PRD0050,WH04,SM3,17,100000,23.59,2918.39,2025-10-21,23-Oct-2025,2025/11/01,2025-10-30
SO0000002,CUST0049,PRD0007,WH02,SM1,134,69,292.38,2405.34,2025/09/04,2025-09-07,2025-09-12,2025-09-11
SO0000003,CUST0074,PRD0076,WH04,SM2,277,277,203.51,167911.86,2024-04-03,2024-04-06,2024-05-08,2024-05-06
SO0000004,CUST0023,PRD0066,WH06,SM3,26,26,49.89,"$8,908.64",2024-04-02,2024-04-05,2024-04-14,2024-04-12
SO0000005,CUST0092,PRD0016,WH02,SM1,112,112,,36246.56,2024-04-24,2024-04-27,2024-05-02,2024/05/05
SO0000006,CUST0160,PRD0040,WH06,SM2,102,102,102.62,37399.32,2024-04-25,28-Apr-2024,05/30/2024,28-May-2024
SO0000007,CUST0137,PRD0067,WH02,SM4,281,281,322.98,"37,786.07",09/20/2024,09/23/2024,07-Oct-2024,2024-10-13
SO0000008,CUST0061,PRD0038,WH04,SM4,228,191,190.96,86811.41,2025-10-02,2025-10-04,2025-10-18,10/16/2025
SO0000009,CUST0125,PRD0071,WH03,SM4,275,275,320.55,145238.5,2024-09-02,2024/09/05,19-Sep-2024,18-Sep-2024
SO0000010,CUST0029,PRD0060,WH01,SM4,227,227,240.11,114684.94,2024-06-01,2024-06-02,06/16/2024,2024-06-14
SO0000011,CUST0122,PRD0080,WH04,SM4,195,177,223.19,"$89,737.23",2024-07-12,07/15/2024,,2024-07-28
SO0000012,CUST0172,PRD0004,WH05,SM1,128,128,587.58,"$4,078.08",2025-04-19,2025-04-20,2025-04-25,2025-05-03
SO0000013,CUST0084,PRD0009,WH05,SM2,110,110,71.98,"$25,010.70",2024-12-30,2025-01-02,2025-02-03,2025-02-08
SO0000014,CUST0156,PRD0019,WH04,SM4,110,110,89.74,60423.0,2025-05-16,2025-05-18,2025-06-01,2025-05-30
SO0000015,CUST0141,PRD0071,WH04,SM4,179,179,191.68,94537.06,,2024-11-09,2024-11-23,2024-11-20
SO0000016,CUST0037,PRD0066,WH01,SM2,,187,162.62,64073.68,2024-06-22,2024/06/25,2024-07-27,2024-07-25
SO0000017,CUST0048,PRD0014,WH04,SM4,242,242,228.47,18842.12,2025-02-11,2025-02-12,26-Feb-2025,2025-02-24
SO0000018,CUST0080,PRD0002,WH02,SM2,83,83,84.14,32172.46,2025-03-01,2025-03-02,2025-04-03,2025-04-12
SO0000019,CUST0060,PRD0068,WH03,SM2,129,122,106.15,74596.9,2025/09/27,28-Sep-2025,2025-10-30,2025-10-29
SO0000020,CUST0025,PRD0071,WH05,SM2,155,155,130.13,81861.7,2024-05-23,25-May-2024,06/26/2024,2024-06-23
SO0000021,CUST0020,PRD0034,WH05,SM1,,156,639.88,26179.92,12/13/2024,2024-12-14,2024-12-19,22-Dec-2024
SO0000022,CUST0158,PRD0018,WH02,SM3,43,43,68.16,10072.75,2024-11-08,2024-11-10,11/19/2024,29-Nov-2024
SO0000023,CUST0043,PRD0029,WH02,SM4,219,219,196.71,"25,031.70",2025-05-07,2025-05-08,22-May-2025,2025-05-20
SO0000024,CUST0046,PRD0042,WH03,SM4,244,244,198.36,49065.96,2025-03-25,2025-03-26,2025-04-09,2025-04-08
SO0000025,CUST0156,PRD0063,WH05,SM2,272,272,222.98,70695.52,2024-12-30,2025-01-01,2025-02-02,31-Jan-2025
SO0000026,CUST0139,PRD0058,WH02,SM2,39,39,24.99,18405.66,27-Dec-2024,2024-12-30,2025/01/31,01/28/2025
SO0000027,CUST0077,PRD0001,WH06,SM4,135,135,128.4,64995.75,2025/04/08,2025-04-09,2025-04-23,2025-04-20
SO0000028,CUST0124,PRD0060,WH05,SM1,43,43,148.48,21724.46,2025-01-15,16-Jan-2025,2025-01-21,2025/01/27
SO0000029,CUST0138,PRD0038,WH02,SM3,105,105,198.02,47723.55,2024-03-24,2024-03-26,2024-04-04,2024/04/03
SO0000030,CUST9999,PRD0033,WH01,SM2,85,85,63.65,37071.9,2024-11-05,06-Nov-2024,2024-12-08,06-Dec-2024
SO0000031,CUST0036,PRD0055,WH04,SM3,243,243,454.56,"96,291.18",2024-12-07,2024-12-08,17-Dec-2024,2024-12-15
SO0000032,CUST0139,PRD0030,WH06,SM3,109,109,190.69,9486.27,2024-03-16,18-Mar-2024,2024-03-27,03/24/2024
SO0000033,CUST0004,PRD0031,WH06,SM1,294,294,1492.65,27941.76,23-Dec-2024,2024-12-25,2024-12-30,28-Dec-2024
SO0000034,CUST0061,PRD0037,WH04,SM2,285,285,225.77,194409.9,2024-04-04,04/06/2024,2024-05-08,2024-05-05
SO0000035,CUST0142,PRD0007,WH04,SM3,286,278,425.72,9691.08,2024/05/13,2024-05-15,2024-05-24,2024-05-23
SO0000036,CUST0033,PRD0005,WH04,SM1,91,80,$364.70,37773.6,2025-11-21,2025-11-24,29-Nov-2025,26-Nov-2025
SO0000037,CUST0079,PRD0004,WH02,SM2,251,251,205.11,7996.86,2024-09-15,2024-09-16,2024-10-18,2024-10-16
SO0000038,CUST0199,PRD0014,WH04,SM3,72,72,127.85,5605.92,2025-09-05,2025-09-08,2025-09-17,2025-09-15
SO0000039,CUST0085,PRD0077,WH06,SM1,15,15,$54.51,2193.6,2025-08-01,2025-08-02,08/07/2025,08/06/2025
SO0000040,CUST0050,PRD0037,WH04,SM4,189,189,166.3,128924.46,2025-05-08,05/11/2025,2025/05/25,2025-05-22
SO0000041,CUST0129,PRD0058,WH03,SM4,52,52,60.18,24540.88,2024-11-17,2024-11-18,2024-12-02,2024-11-30
SO0000042,CUST0178,PRD0022,WH06,SM1,188,,$968.73,94270.72,2025-08-04,2025-08-06,2025-08-11,2025-08-15
SO0000043,CUST0121,PRD0067,WH04,SM3,233,233,424.5,"$31,331.51",2025-08-03,2025-08-05,08/14/2025,2025-08-11
SO0000044,CUST0169,PRD0056,WH06,SM2,234,196,129.95,32596.76,2024-05-27,30-May-2024,01-Jul-2024,29-Jun-2024
SO0000045,CUST0157,PRD0019,WH01,SM3,124,124,180.65,68113.2,02-Aug-2024,2024/08/03,12-Aug-2024,2024-08-11
SO0000046,CUST0003,PRD0036,WH01,SM2,189,189,189.05,8928.36,2024-11-22,2024-11-24,2024-12-26,2024-12-24
SO0000047,CUST0122,PRD0017,WH01,SM2,223,223,201.32,,2025-09-21,2025-09-23,2025-10-25,10/22/2025
SO0000048,CUST0149,PRD0061,WH01,SM1,269,269,,23343.82,2024-07-01,2024-07-02,2024-07-07,2024-07-04
SO0000049,CUST0197,PRD0058,WH02,SM3,99,99,169.56,46722.06,11/16/2024,2024-11-18,2024-11-27,11/26/2024
SO0000050,CUST0015,PRD0076,WH03,SM1,144,144,578.19,87289.92,10/03/2024,2024/10/04,2024-10-09,2024/10/08
SO0000051,CUST0185,PRD0063,WH05,SM3,86,86,147.80,,2025-03-17,18-Mar-2025,2025-03-27,03/24/2025
SO0000052,CUST0169,PRD0026,WH06,SM3,224,224,318.26,120321.6,01/26/2025,28-Jan-2025,2025-02-06,2025-02-04
SO0000053,CUST0075,PRD0051,WH05,SM1,193,193,982.99,22679.43,2025-04-10,13-Apr-2025,04/18/2025,2025/04/15
SO0000054,CUST0021,PRD0016,WH02,SM1,90,90,$392.18,29126.7,2024-06-13,2024-06-15,2024-06-20,2024-06-19
SO0000055,CUST0065,PRD0022,WH04,SM3,127,127,165.95,63682.88,2025-01-08,2025-01-09,2025-01-18,01/29/2025
SO0000056,CUST0041,PRD0031,WH06,SM3,25,25,37.28,2376.0,07-Jun-2024,10-Jun-2024,2024-06-19,2024-06-17
SO0000057,CUST0146,PRD0064,WH06,SM2,150,150,,13860.0,2024-11-28,2024-11-30,01-Jan-2025,2024/12/31
SO0000058,CUST0132,PRD0026,WH04,SM2,275,275,218.61,147716.25,16-Oct-2025,2025-10-17,11/18/2025,2025-11-17
